IDX,SceneNum,Type,Naration,ScriptA,ScriptB
1,1,TEXT,"새 학기, 새로운 학교. 두근거리는 마음으로 등굣길에 오른다.",0,0
2,1,TEXT,0,"아, 안녕! 혹시 오늘 처음 온 전학생 맞지?",0
3,1,TEXT,0,"내 이름은 수아야! 앞으로 잘 부탁해~",0
4,1,SELECT,"수아가 먼저 말을 건다. 어떻게 반응할까?",0,0
5,1,SELECT,"밝게 인사한다.",0,0
6,1,SELECT,"조금 수줍게 인사한다.",0,0
7,1,SELECT,"무뚝뚝하게 고개만 끄덕인다.",0,0
8,2,TEXT,"교실에 들어서니 반 친구들이 쳐다본다. 어색한 분위기 속, 누군가 다가온다.",0,0
9,2,TEXT,0,"저기, 자리 여기야. 내가 안내해줄게!",0
10,2,TEXT,0,"아, 고마워...",0
11,2,SELECT,"수아와 함께 자리에 앉는다.",0,0
12,2,SELECT,"다른 학생을 찾아본다.",0,0
13,3,TEXT,"쉬는 시간. 교실 한 구석에서 누군가 시선을 느낀다.",0,0
14,3,TEXT,0,0,"저기... 혹시, 전학생?"
15,3,TEXT,0,0,"난 민준이야. 우리 동아리 들어올 생각 없어?"
16,3,SELECT,"민준이 제안을 받아들인다.",0,0
17,3,SELECT,"정중히 거절한다.",0,0
18,4,TEXT,"점심시간. 수아가 매점에 같이 가자고 한다.",0,0
19,4,TEXT,0,"뭐 먹을래? 내가 사줄까?",0
20,4,SELECT,"수아에게 간식 사준다.",0,0
21,4,SELECT,"수아가 사주는 걸 받아준다.",0,0
22,5,TEXT,"매점에서 우연히 라이벌과 마주친다.",0,0
23,5,TEXT,0,0,"오, 전학생. 여기까지 따라온 거야?"
24,5,SELECT,"라이벌에게 먼저 인사한다.",0,0
25,5,SELECT,"무시하고 수아랑 이야기한다.",0,0
26,6,TEXT,"점심을 먹고 교실로 돌아오는 길. 수아가 조심스럽게 묻는다.",0,0
27,6,TEXT,0,"혹시... 오늘 방과 후에 시간 괜찮아?",0
28,6,SELECT,"좋다고 대답한다.",0,0
29,6,SELECT,"바쁘다고 핑계를 댄다.",0,0
30,7,TEXT,"방과 후, 운동장에서 체육대회 예선 연습이 있다.",0,0
31,7,TEXT,0,"같이 팀 이뤄볼래?",0
32,7,SELECT,"수아와 한 팀이 된다.",0,0
33,7,SELECT,"민준이나 라이벌과 한 팀이 된다.",0,0
34,8,TEXT,"연습 중 넘어져서 다칠 뻔했다. 누군가 손을 내민다.",0,0
35,8,TEXT,0,"괜찮아? 다친 데는 없어?",0
36,8,SELECT,"수아의 손을 잡는다.",0,0
37,8,SELECT,"괜찮다고 스스로 일어난다.",0,0
38,9,TEXT,"연습이 끝나고 교정 벚꽃길을 걷는다.",0,0
39,9,TEXT,0,"오늘... 너랑 같이 있어서 즐거웠어.",0
40,9,SELECT,"나도 즐거웠다고 말한다.",0,0
41,9,SELECT,"장난스럽게 분위기를 넘긴다.",0,0
42,10,TEXT,"며칠 뒤, 반 아이들과 소풍을 간다.",0,0
43,10,TEXT,0,"같이 도시락 먹을래?",0
44,10,SELECT,"수아와 도시락을 먹는다.",0,0
45,10,SELECT,"라이벌과 도시락을 먹는다.",0,0
46,11,TEXT,"소풍 도중 갑작스러운 비가 내린다. 네 옆에 누가 우산을 펼쳐준다.",0,0
47,11,TEXT,0,"비 맞지 마. 내 우산 쓸래?",0
48,11,SELECT,"수아의 우산에 들어간다.",0,0
49,11,SELECT,"혼자 달려간다.",0,0
50,12,TEXT,"소풍이 끝난 뒤, 수아와 교문 앞에서 마주친다.",0,0
51,12,TEXT,0,"오늘 정말 고마웠어. 혹시... 주말에 시간 돼?",0
52,12,SELECT,"데이트 신청을 받아들인다.",0,0
53,12,SELECT,"바쁘다고 한다.",0,0
54,13,TEXT,"주말, 도서관 데이트. 조용한 분위기 속, 수아가 책을 건넨다.",0,0
55,13,TEXT,0,"이 책, 나랑 같이 읽어볼래?",0
56,13,SELECT,"조용히 책을 같이 읽는다.",0,0
57,13,SELECT,"수아에게 농담을 건다.",0,0
58,14,TEXT,"데이트가 끝나고, 수아가 쑥스러운 듯 말한다.",0,0
59,14,TEXT,0,"나, 너랑 있으면... 이상하게 심장이 두근거려.",0
60,14,SELECT,"솔직하게 마음을 전한다.",0,0
61,14,SELECT,"장난스럽게 넘긴다.",0,0
62,15,TEXT,"며칠 뒤, 라이벌이 다가와 묻는다.",0,0
63,15,TEXT,0,0,"혹시... 너, 수아를 좋아해?"
64,15,SELECT,"솔직하게 인정한다.",0,0
65,15,SELECT,"당황하며 부정한다.",0,0
66,16,TEXT,"다음 날, 수아가 어색해 보인다.",0,0
67,16,TEXT,0,"혹시... 나 피하는 거야?",0
68,16,SELECT,"솔직하게 대화한다.",0,0
69,16,SELECT,"그냥 피곤했다고 둘러댄다.",0,0
70,17,TEXT,"교실에서 반 친구들이 갑자기 두 사람을 응원한다.",0,0
71,17,TEXT,0,"둘이 잘 어울린대! 혹시 사귀는 거야?",0
72,17,SELECT,"웃으며 넘긴다.",0,0
73,17,SELECT,"솔직하게 고백한다.",0,0
74,18,TEXT,"방과 후 옥상. 수아가 마지막으로 묻는다.",0,0
75,18,TEXT,0,"정말 내 마음 몰라? 나... 네가 좋아.",0
76,18,SELECT,"고백을 받아들인다.",0,0
77,18,SELECT,"잠시 생각한다고 한다.",0,0
78,19,RESULT,"해피엔딩! 두 사람은 서로의 마음을 확인하고 연인이 되었다.",0,0
79,20,RESULT,"아쉽게도, 용기를 내지 못해 둘 사이에는 거리감이 남았다.",0,0
